order_id,product_id,store_id,product_name,city,date_of_sale,quantity,sales_amount
100,659,10,Banana,Dallas,2022-07-30,2,52.75
93,497,7,Peach,San Jose,2024-11-15,6,22.67
18,568,5,Mango,San Jose,2025-11-24,9,61.93
18,744,4,Peach,Houston,2022-12-25,8,30.57
86,502,6,Blueberry,San Diego,2024-11-27,9,26.14
97,609,3,Blueberry,San Antonio,2022-03-16,10,57.9
4,579,6,Kiwi,Los Angeles,2025-04-05,2,51.66
46,58,7,Raspberry,Los Angeles,2022-08-02,6,41.77
31,432,8,Apple,New York,2025-03-10,5,24.42
24,342,7,Apple,Philadelphia,2024-09-14,10,24.32
75,171,10,Kiwi,San Jose,2021-05-01,3,71.74
1,152,7,Cherry,Houston,2021-09-17,6,51.7
73,447,9,Watermelon,San Antonio,2022-02-18,2,25.75
80,217,5,Plum,San Jose,2023-08-24,3,71.31
26,213,5,Mango,Dallas,2024-08-26,4,27.95
61,227,5,Blueberry,San Diego,2023-03-10,9,26.53
9,528,2,Banana,Chicago,2025-12-18,0,73.7
51,907,1,Watermelon,San Jose,2024-06-02,7,64.33
69,238,9,Apple,San Diego,2025-01-25,4,41.45
35,934,9,Watermelon,Houston,2025-09-17,5,54.36
62,129,2,Strawberry,San Antonio,2025-03-08,4,36.12
20,324,9,Strawberry,Dallas,2025-05-20,3,37.22
58,999,9,Pear,San Diego,2022-01-31,5,50.76
63,444,8,Pear,Philadelphia,2022-05-04,6,25.85
49,858,2,Watermelon,Los Angeles,2023-02-27,4,22.41
20,896,4,Banana,Los Angeles,2025-11-17,7,48.97
15,370,4,Banana,San Diego,2021-04-24,6,42.97
43,208,6,Grape,San Jose,2022-07-02,7,28.44
37,502,7,Blueberry,New York,2025-10-29,2,70.94
6,807,6,Raspberry,New York,2022-09-09,0,66.38
51,688,6,Plum,New York,2022-01-22,4,16.69
19,268,6,Banana,San Diego,2022-05-16,10,54.22
76,743,8,Plum,Houston,2023-11-25,10,35.5
19,995,9,Plum,San Diego,2024-08-24,8,11.5
23,239,9,Plum,Dallas,2025-01-24,10,20.87
88,622,5,Banana,San Diego,2025-07-25,0,59.73
18,813,7,Peach,Dallas,2021-07-13,1,74.7
42,519,8,Apple,San Jose,2022-10-30,6,44.37
18,401,9,Mango,San Jose,2021-03-24,0,51.76
9,633,1,Apple,New York,2022-04-13,4,21.71
47,652,2,Mango,Houston,2021-08-20,0,60.2
10,234,3,Mango,Philadelphia,2021-03-24,5,51.58
85,672,1,Grape,Houston,2023-12-03,4,66.42
19,286,3,Mango,San Jose,2022-04-26,8,34.51
86,66,5,Pear,Philadelphia,2022-09-06,10,69.37
43,565,10,Apple,Dallas,2023-08-12,4,13.2
49,66,5,Apple,San Antonio,2024-05-07,7,53.72
68,960,9,Blueberry,New York,2024-12-06,7,63.8
67,364,3,Watermelon,Dallas,2023-05-24,6,56.14
8,871,5,Strawberry,Phoenix,2023-04-17,9,51.89
24,122,7,Pear,Philadelphia,2025-02-18,7,49.3
10,721,7,Watermelon,San Antonio,2022-11-14,0,10.75
25,754,5,Peach,Dallas,2025-08-02,9,36.77
16,658,3,Apple,San Diego,2025-08-07,0,65.26
67,158,7,Watermelon,Chicago,2022-01-05,4,38.71
79,556,2,Pineapple,San Diego,2023-07-28,5,14.47
67,239,6,Grape,San Diego,2025-05-04,6,37.72
42,582,8,Pineapple,Chicago,2024-07-02,5,32.45
2,924,1,Cherry,New York,2023-02-11,1,45.58
68,761,9,Blueberry,New York,2021-10-19,10,63.41
100,556,1,Grape,Philadelphia,2025-01-03,2,41.46
39,128,10,Grape,Houston,2021-12-03,3,14.84
89,86,8,Apple,Chicago,2022-01-06,7,36.5430590817113
73,426,7,Watermelon,San Jose,2021-11-26,6,32.67
38,451,7,Watermelon,New York,2021-05-04,9,34.11
7,328,3,Strawberry,Philadelphia,2025-03-15,6,74.61
96,566,2,Kiwi,Philadelphia,2024-05-10,8,17.37
65,370,3,Banana,Houston,2024-11-05,4,47.15
80,57,4,Strawberry,Philadelphia,2025-08-08,8,34.61
90,243,6,Blueberry,San Jose,2021-01-28,4,29.13
86,588,5,Peach,New York,2025-01-13,5,70.99
21,253,4,Banana,Chicago,2021-03-18,0,72.82
91,983,10,Pear,Phoenix,2024-07-11,6,24.9
31,851,5,Raspberry,Chicago,2025-01-27,1,22.43
76,189,6,Peach,Chicago,2024-04-20,10,14.63
57,760,7,Pear,Philadelphia,2022-06-14,6,11.74
80,912,5,Cherry,New York,2021-04-27,9,43.23
76,340,4,Mango,Los Angeles,2025-11-02,1,50.8
99,596,1,Watermelon,Houston,2021-11-23,10,74.15
64,194,6,Kiwi,New York,2024-07-07,1,30.2
70,296,3,Apple,San Diego,2023-06-01,9,17.74
2,61,1,Pineapple,San Jose,2023-07-17,5,65.91
6,653,7,Apple,New York,2025-12-07,1,19.94
36,531,9,Orange,Phoenix,2023-09-12,3,69.66
22,488,1,Pear,Los Angeles,2021-07-17,5,58.32
72,715,9,Kiwi,San Jose,2024-10-07,2,28.23
84,486,2,Plum,Houston,2025-01-20,2,45.74
51,810,10,Raspberry,San Jose,2023-02-01,8,30.74
42,363,7,Blueberry,Los Angeles,2025-04-15,1,11.29
36,882,5,Mango,New York,2021-06-01,1,43.86
50,325,2,Raspberry,San Diego,2025-09-13,8,24.14
43,670,8,Banana,Phoenix,2024-03-13,1,41.12
99,928,4,Pear,San Antonio,2022-07-28,9,67.12
54,144,4,Peach,Houston,2025-03-05,1,12.3
78,123,8,Pear,San Diego,2025-08-30,8,18.12
28,479,7,Kiwi,Phoenix,2022-05-06,10,38.16
98,175,1,Orange,San Jose,2025-04-16,7,28.82
16,790,3,Grape,Los Angeles,2024-09-26,4,55.92
65,482,4,Grape,Phoenix,2021-03-15,6,14.57
70,535,3,Orange,Houston,2025-04-21,6,11.0
60,805,8,Raspberry,San Diego,2021-11-17,3,35.85
68,684,4,Orange,Houston,2024-09-01,9,44.37
72,755,1,Orange,Chicago,2023-12-25,3,68.64
17,253,8,Orange,Phoenix,2024-12-13,10,65.86
53,874,6,Mango,Phoenix,2024-11-21,10,28.13
35,992,6,Apple,Philadelphia,2025-05-24,10,12.79
29,487,3,Apple,Houston,2025-11-16,1,18.87
36,811,6,Banana,Phoenix,2025-09-11,5,66.36
0,317,10,Pear,Houston,2025-07-27,6,37.9
35,499,7,Mango,Chicago,2022-09-28,10,68.29
49,833,8,Mango,San Diego,2022-11-19,1,30.74
50,791,8,Pineapple,Los Angeles,2026-01-09,8,39.96
50,994,10,Plum,Phoenix,2026-01-08,3,73.5
10,107,10,Watermelon,Los Angeles,2021-04-23,5,27.43
51,493,9,Blueberry,San Diego,2023-04-27,3,38.11
67,826,5,Banana,Phoenix,2021-01-14,0,43.18
42,247,3,Pineapple,Philadelphia,2025-11-21,6,45.24
51,96,3,Pineapple,Los Angeles,2025-08-09,4,25.45
53,648,4,Orange,San Antonio,2022-07-31,3,57.78
53,901,1,Peach,Philadelphia,2025-02-09,1,54.78
93,813,2,Peach,Houston,2025-02-24,6,19.5
81,901,2,Cherry,Houston,2021-11-30,2,13.62
55,774,9,Raspberry,Chicago,2025-01-17,10,10.74
91,87,2,Cherry,San Diego,2025-11-22,7,74.92
75,884,9,Banana,San Jose,2023-08-15,5,28.56
51,564,8,Cherry,Phoenix,2025-06-21,4,36.56
82,651,6,Watermelon,San Antonio,2023-08-19,10,18.56
